sum	0	0,0,42,-20,0,0,0,0,0,0,0	22
prefix	0	6459805,6338796,63373120,4142302,-4971520,12237600,-43668720,783292,18188630,48457248,-51065658,-90699,-1328766,15837360,-32635584,26591468,-8003226,-13230048	6459805,12798601,76171721,80314023,75342503,87580103,43911383,44694675,62883305,111340553,60274895,60184196,58855430,74692790,42057206,68648674,60645448,47415400
clamp	19	-59,-56,-38,-27,10,14,24,31,48	-19,-19,-19,-19,10,14,19,19,19
rotate	19	-11637132,-4281456,-28188306,-3924592,26398439,13432500,-1882605,-7317960,-15962130,22110904,869452,13738680,69516526,26816075,3928582,3433794,-2421937,14008470	-4281456,-28188306,-3924592,26398439,13432500,-1882605,-7317960,-15962130,22110904,869452,13738680,69516526,26816075,3928582,3433794,-2421937,14008470,-11637132
rotate	5	0,-9,0,0,0,78,0,0,-17,0,0,0,8,0,0,8,0,0,0,0	78,0,0,-17,0,0,0,8,0,0,8,0,0,0,0,0,-9,0,0,0
unique	0	21603333,5615270,-1072218,70505868,-21327656	-21327656,-1072218,5615270,21603333,70505868
unique	0	78,69,78,69,-73,69,69,-73,-73,-73,69,-73,78	-73,69,78
diff	0	63,2,-31,-42	-61,-33,-11
reverse	0		
prefix	0	-18,-59,-57,-19,31,42,66,-72,-36,-1,2,40,-32,48,3	-18,-77,-134,-153,-122,-80,-14,-86,-122,-123,-121,-81,-113,-65,-62
rotate	15	-5,42,-71,71,-57,41,-30,46,-66,1,-50,31	71,-57,41,-30,46,-66,1,-50,31,-5,42,-71
diff	0	-35,-30,-28,-18,-9,-3,-2,-1,2,20,22,43,63	5,2,10,9,6,1,1,3,18,2,21,20
clamp	42	71,49,7,3,-1,-2,-9,-14,-22,-30,-42,-44,-46,-51,-62,-63,-69,-77	42,42,7,3,-1,-2,-9,-14,-22,-30,-42,-42,-42,-42,-42,-42,-42,-42
prefix	0	77,53	77,130
diff	0	0,0,0,0	0,0,0
reverse	0	36352000,0,-12530768,11897854,-663288,-15076064,12077946,10298808,-23489880,9490745,-4522830,21813638,34673336,-3187808,1066538,26885595	26885595,1066538,-3187808,34673336,21813638,-4522830,9490745,-23489880,10298808,12077946,-15076064,-663288,11897854,-12530768,0,36352000
sum	0	-78,45,-9,47,30,26,-64,44,-37,50,66,37,-67,17	107
clamp	44	76,42,-22,59,-44,-54,3,10,13	44,42,-22,44,-44,-44,3,10,13
clamp	5	0,0,-51,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0	0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0
bound	-26	-15,36,-26,23,-39,14,-6,24,-67,54,-40,49,-39,73,-22,20,-70,2,-18	5
unique	0	-1,33,-39,73,-19,5,-42,46,-68,40,-47,67,-28	-68,-47,-42,-39,-28,-19,-1,5,33,40,46,67,73
rotate	7	-77,45,-33,13,-4,20	45,-33,13,-4,20,-77
windows	11	37,37,37	
clamp	90	-55,-35,-32,-14,-13,6,7,7,15,22,28	-55,-35,-32,-14,-13,6,7,7,15,22,28
rotate	26	-7,13,-52,44,-72,9,-32,3,-73,58,-7,44,-23,72,-59,26,-13,47,-40,68,-1,15	-72,9,-32,3,-73,58,-7,44,-23,72,-59,26,-13,47,-40,68,-1,15,-7,13,-52,44
sum	0	74,74,74	222
rotate	3	-26,10,-1,46,-17,19,-41,51,-60,71,-73,46	46,-17,19,-41,51,-60,71,-73,46,-26,10,-1
runs	0		
clamp	82	-78,-76,-72,-62,-53,-46,-40,-33,-13,-2,6,13,13,18,20,41,67,67	-78,-76,-72,-62,-53,-46,-40,-33,-13,-2,6,13,13,18,20,41,67,67
prefix	0	-71,-59,-52,-44,-13,51,59	-71,-130,-182,-226,-239,-188,-129
prefix	0	53,-27,-73,-80	53,26,-47,-127
bound	-3	3,-4,-23,-41,-63	4
