sum	0	-25738720,65815304,-18073960,3737528,-30141808,-1190112,-3737013,10231110,-13047970,18647304,-12134002	-5632339
rotate	22	63,63,63,63,63,63,63,63,63,63,63,63,63,63,63	63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
windows	5	-10	
sum	0	71	71
unique	0	52,-22,-68,-38,50,50,-75,-63,76,-2,30,23,19,6,52	-75,-68,-63,-38,-22,-2,6,19,23,30,50,52,76
windows	5	34,54,66,-62,-79,-55,0,66,-57,-41,76,17,55,-31,-64	13,-76,-130,-130,-125,-87,44,61,50,76,53
runs	0	50,-13,-59,-18,22,57,25,-1,-54,16,-30,-20,72,10,57	50,1,-13,1,-59,1,-18,1,22,1,57,1,25,1,-1,1,-54,1,16,1,-30,1,-20,1,72,1,10,1,57,1
sum	0	46,46,-73,-73,46,46,-11	27
diff	0	-19,-19,-19,-19,-19,-19	0,0,0,0,0
rotate	0	-48,64,-70,49,-65,38,-70,5,-2	-48,64,-70,49,-65,38,-70,5,-2
clamp	45	12,-20,-30,-32,-62,-3,12,64,-71,67,-65,51,-25	12,-20,-30,-32,-45,-3,12,45,-45,45,-45,45,-25
unique	0	31,31,31,31	31
reverse	0	0,0,0,0,12,38,63,0,0	0,0,63,38,12,0,0,0,0
diff	0	77,77,47,47,69,77,69,47,77,69	0,-30,0,22,8,-8,-22,30,-8
prefix	0	-79,-79,56,-13,-79,-13,56,56	-79,-158,-102,-115,-194,-207,-151,-95
reverse	0	-20,-20,-20,-20,-20,-20,-20	-20,-20,-20,-20,-20,-20,-20
prefix	0	-6,-43	-6,-49
sum	0	-80,-65,-64,-57,-57,-50,-48,-45,-43,-11,-9,-2,2,8,8,30,30,55,59,67,80	-192
prefix	0	-47,-47,-47,-47,-47,-47,-47,-47,-47,-47,-47,-47,-47,-47,-47,-47,-47,-47,-47,-47,-47	-47,-94,-141,-188,-235,-282,-329,-376,-423,-470,-517,-564,-611,-658,-705,-752,-799,-846,-893,-940,-987
prefix	0	-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28	-28,-56,-84,-112,-140,-168,-196,-224,-252,-280,-308,-336,-364,-392,-420,-448,-476
clamp	41	-35,4,54	-35,4,41
runs	0	0,-39,0,-14,0,0,40,73,0,0,0,45,0,-72,0,0,0,0,0,0	0,1,-39,1,0,1,-14,1,0,2,40,1,73,1,0,3,45,1,0,1,-72,1,0,6
prefix	0	47772000,-3799824,-61159351,-6798501,-2722304,39888054,3285612,19840464,-12675162,-5453760,20767571	47772000,43972176,-17187175,-23985676,-26707980,13180074,16465686,36306150,23630988,18177228,38944799
windows	3	2754752,916090,25055824,6116198,-23365188,35607748,-26881792	28726666,32088112,7806834,18358758,-14639232
diff	0	-33,0,30,0,0,0,0,0,0,0,-33,0,0,0,0,0,59,0,0,0,0,0	33,30,-30,0,0,0,0,0,0,-33,33,0,0,0,0,59,-59,0,0,0,0
reverse	0	69,69	69,69
windows	13	-71,15,-71,-20,-20,-20,15,-71,-71,-20,-71	
windows	17	-67,-2,-80,58,-45,32,22,-58,69,5,-80,19,23,28,73,-13,-60,-51,-45	-76,-60,-103
reverse	0	72,61,51,42,41,37,26,2,-5,-28	-28,-5,2,26,37,41,42,51,61,72
prefix	0	-2620518,-21133035,432272,38289164,20713424,-18833012,16441040,11041692,67197011,14633685,-15195765,-58480818,-4478640,17749938	-2620518,-23753553,-23321281,14967883,35681307,16848295,33289335,44331027,111528038,126161723,110965958,52485140,48006500,65756438
windows	14	47,47,47,47,47,47,47,47,47,47,47,47	
prefix	0	-79,-77,-59,-54,-51,-46,-40,2,3,17,23,26,63,68,74	-79,-156,-215,-269,-320,-366,-406,-404,-401,-384,-361,-335,-272,-204,-130
